Iteration;Time;Fitness;Prio0;Prio1;Total
85.0;69.8407;0.7435265104808881;97.0;173.0;270.0
86.0;69.584;0.73921085080148;95.0;173.0;268.0
87.0;69.5017;0.7566789971228939;95.0;170.0;265.0
88.0;67.8327;0.7279079325935063;94.0;171.0;265.0
89.0;70.3137;0.7318125770653517;95.0;171.0;266.0
90.0;66.4092;0.7501027538018911;95.0;169.0;264.0
91.0;72.2394;0.7447595561035761;95.0;167.0;262.0
92.0;64.5584;0.7090012330456231;90.0;171.0;261.0
93.0;68.4721;0.7488697081792031;94.0;177.0;271.0
94.0;69.2723;0.7283189478010691;92.0;170.0;262.0
95.0;72.9767;0.7675709001233049;99.0;174.0;273.0
96.0;62.5534;0.6584463625154136;83.0;177.0;260.0
97.0;70.2219;0.7655158240854915;101.0;172.0;273.0
98.0;73.3785;0.7490752157829843;98.0;173.0;271.0
99.0;67.0592;0.7363337443485412;93.0;171.0;264.0
100.0;66.8853;0.7577065351418006;97.0;170.0;267.0
101.0;68.3392;0.7314015618577892;95.0;168.0;263.0
102.0;71.6181;0.7472256473489524;96.0;174.0;270.0
103.0;70.8236;0.7722975750102757;99.0;171.0;270.0
104.0;70.1214;0.7538018906699552;100.0;171.0;271.0
105.0;65.2245;0.7422934648582002;95.0;168.0;263.0
